Benchmark Problem,Sampling Scheme,Dimensionality [  ],Number of Samples [  ],d-APE (0-perc) [  ],d-APE (5-perc) [  ],d-APE (10-perc) [  ],d-APE (20-perc) [  ],d-APE (25-perc) [  ],d-APE (40-perc) [  ],d-APE (50-perc) [  ],d-APE (60-perc) [  ],d-APE (75-perc) [  ],d-APE (80-perc) [  ],d-APE (90-perc) [  ],d-APE (95-perc) [  ],d-APE (100-perc) [  ],Surrogate Efficiency [  ]
rastrigin,simple random,2,5,0.11208370120243827,0.11208370120243827,0.11208370120243827,0.11208370120243827,0.11208370120243827,0.11208370120243827,0.11208370120243827,0.11208370120243827,0.11208370120243827,0.11208370120243827,0.11208370120243827,0.11208370120243827,0.11208370120243827,0.7783128031079025
rastrigin,simple random,2,5,0.302741875173945,0.302741875173945,0.302741875173945,0.302741875173945,0.302741875173945,0.302741875173945,0.302741875173945,0.302741875173945,0.302741875173945,0.302741875173945,0.302741875173945,0.302741875173945,0.302741875173945,0.5081638151976479
rastrigin,simple random,2,5,0.13606424931008937,0.13606424931008937,0.13606424931008937,0.13606424931008937,0.13606424931008937,0.13606424931008937,0.13606424931008937,0.13606424931008937,0.13606424931008937,0.13606424931008937,0.13606424931008937,0.13606424931008937,0.13606424931008937,0.7376772277937458
rastrigin,simple random,2,5,0.19707548433651584,0.19707548433651584,0.19707548433651584,0.19707548433651584,0.19707548433651584,0.19707548433651584,0.19707548433651584,0.19707548433651584,0.19707548433651584,0.19707548433651584,0.19707548433651584,0.19707548433651584,0.19707548433651584,0.6436023711482567
rastrigin,simple random,2,5,0.025974451656610786,0.025974451656610786,0.025974451656610786,0.025974451656610786,0.025974451656610786,0.025974451656610786,0.025974451656610786,0.025974451656610786,0.025974451656610786,0.025974451656610786,0.025974451656610786,0.025974451656610786,0.025974451656610786,0.943573854967119
rastrigin,simple random,2,5,0.6967766238331998,0.6967766238331998,0.6967766238331998,0.6967766238331998,0.6967766238331998,0.6967766238331998,0.6967766238331998,0.6967766238331998,0.6967766238331998,0.6967766238331998,0.6967766238331998,0.6967766238331998,0.6967766238331998,0.21054836368552782
rastrigin,simple random,2,5,0.3127164315854061,0.3127164315854061,0.3127164315854061,0.3127164315854061,0.3127164315854061,0.3127164315854061,0.3127164315854061,0.3127164315854061,0.3127164315854061,0.3127164315854061,0.3127164315854061,0.3127164315854061,0.3127164315854061,0.49695529893751783
rastrigin,simple random,2,5,0.004257911249704786,0.004257911249704786,0.004257911249704786,0.004257911249704786,0.004257911249704786,0.004257911249704786,0.004257911249704786,0.004257911249704786,0.004257911249704786,0.004257911249704786,0.004257911249704786,0.004257911249704786,0.004257911249704786,0.9905242020211567
rastrigin,simple random,2,5,0.043072333448097695,0.043072333448097695,0.043072333448097695,0.043072333448097695,0.043072333448097695,0.043072333448097695,0.043072333448097695,0.043072333448097695,0.043072333448097695,0.043072333448097695,0.043072333448097695,0.043072333448097695,0.043072333448097695,0.9081800150779951
rastrigin,simple random,2,5,0.1844399753660674,0.1844399753660674,0.1844399753660674,0.1844399753660674,0.1844399753660674,0.1844399753660674,0.1844399753660674,0.1844399753660674,0.1844399753660674,0.1844399753660674,0.1844399753660674,0.1844399753660674,0.1844399753660674,0.6620459446314071
rastrigin,simple random,2,5,0.8158466739409803,0.8158466739409803,0.8158466739409803,0.8158466739409803,0.8158466739409803,0.8158466739409803,0.8158466739409803,0.8158466739409803,0.8158466739409803,0.8158466739409803,0.8158466739409803,0.8158466739409803,0.8158466739409803,0.1613323715934288
rastrigin,simple random,2,5,0.1558886816126359,0.1558886816126359,0.1558886816126359,0.1558886816126359,0.1558886816126359,0.1558886816126359,0.1558886816126359,0.1558886816126359,0.1558886816126359,0.1558886816126359,0.1558886816126359,0.1558886816126359,0.1558886816126359,0.7056910884531518
rastrigin,simple random,2,5,0.6880346504309921,0.6880346504309921,0.6880346504309921,0.6880346504309921,0.6880346504309921,0.6880346504309921,0.6880346504309921,0.6880346504309921,0.6880346504309921,0.6880346504309921,0.6880346504309921,0.6880346504309921,0.6880346504309921,0.21470457849591584
rastrigin,simple random,2,5,0.09084237326076386,0.09084237326076386,0.09084237326076386,0.09084237326076386,0.09084237326076386,0.09084237326076386,0.09084237326076386,0.09084237326076386,0.09084237326076386,0.09084237326076386,0.09084237326076386,0.09084237326076386,0.09084237326076386,0.8161723591710298
rastrigin,simple random,2,5,0.5680819911614714,0.5680819911614714,0.5680819911614714,0.5680819911614714,0.5680819911614714,0.5680819911614714,0.5680819911614714,0.5680819911614714,0.5680819911614714,0.5680819911614714,0.5680819911614714,0.5680819911614714,0.5680819911614714,0.28075582178587877
rastrigin,simple random,2,5,0.21885837907654904,0.21885837907654904,0.21885837907654904,0.21885837907654904,0.21885837907654904,0.21885837907654904,0.21885837907654904,0.21885837907654904,0.21885837907654904,0.21885837907654904,0.21885837907654904,0.21885837907654904,0.21885837907654904,0.6130049837012748
rastrigin,simple random,2,5,0.22709781103379686,0.22709781103379686,0.22709781103379686,0.22709781103379686,0.22709781103379686,0.22709781103379686,0.22709781103379686,0.22709781103379686,0.22709781103379686,0.22709781103379686,0.22709781103379686,0.22709781103379686,0.22709781103379686,0.6018144263860365
rastrigin,simple random,2,5,0.44244523216757137,0.44244523216757137,0.44244523216757137,0.44244523216757137,0.44244523216757137,0.44244523216757137,0.44244523216757137,0.44244523216757137,0.44244523216757137,0.44244523216757137,0.44244523216757137,0.44244523216757137,0.44244523216757137,0.37182289921554745
rastrigin,simple random,2,5,0.20818880784314533,0.20818880784314533,0.20818880784314533,0.20818880784314533,0.20818880784314533,0.20818880784314533,0.20818880784314533,0.20818880784314533,0.20818880784314533,0.20818880784314533,0.20818880784314533,0.20818880784314533,0.20818880784314533,0.6278058436413081
rastrigin,simple random,2,5,1.2588060445837292,1.2588060445837292,1.2588060445837292,1.2588060445837292,1.2588060445837292,1.2588060445837292,1.2588060445837292,1.2588060445837292,1.2588060445837292,1.2588060445837292,1.2588060445837292,1.2588060445837292,1.2588060445837292,0.05991814572018349
rastrigin,simple random,2,5,0.041321449681065305,0.041321449681065305,0.041321449681065305,0.041321449681065305,0.041321449681065305,0.041321449681065305,0.041321449681065305,0.041321449681065305,0.041321449681065305,0.041321449681065305,0.041321449681065305,0.041321449681065305,0.041321449681065305,0.9117425955967621
rastrigin,simple random,2,5,0.33462474091929445,0.33462474091929445,0.33462474091929445,0.33462474091929445,0.33462474091929445,0.33462474091929445,0.33462474091929445,0.33462474091929445,0.33462474091929445,0.33462474091929445,0.33462474091929445,0.33462474091929445,0.33462474091929445,0.473196914381274
rastrigin,simple random,2,5,0.4724071051808138,0.4724071051808138,0.4724071051808138,0.4724071051808138,0.4724071051808138,0.4724071051808138,0.4724071051808138,0.4724071051808138,0.4724071051808138,0.4724071051808138,0.4724071051808138,0.4724071051808138,0.4724071051808138,0.3477281091103169
rastrigin,simple random,2,5,0.40933167475189397,0.40933167475189397,0.40933167475189397,0.40933167475189397,0.40933167475189397,0.40933167475189397,0.40933167475189397,0.40933167475189397,0.40933167475189397,0.40933167475189397,0.40933167475189397,0.40933167475189397,0.40933167475189397,0.40039911169436704
rastrigin,simple random,2,5,0.09357574107738538,0.09357574107738538,0.09357574107738538,0.09357574107738538,0.09357574107738538,0.09357574107738538,0.09357574107738538,0.09357574107738538,0.09357574107738538,0.09357574107738538,0.09357574107738538,0.09357574107738538,0.09357574107738538,0.8111991304356524
rastrigin,simple random,2,5,1.1637563146870396,1.1637563146870396,1.1637563146870396,1.1637563146870396,1.1637563146870396,1.1637563146870396,1.1637563146870396,1.1637563146870396,1.1637563146870396,1.1637563146870396,1.1637563146870396,1.1637563146870396,1.1637563146870396,0.0741075228504723
rastrigin,simple random,2,5,0.27172865593379925,0.27172865593379925,0.27172865593379925,0.27172865593379925,0.27172865593379925,0.27172865593379925,0.27172865593379925,0.27172865593379925,0.27172865593379925,0.27172865593379925,0.27172865593379925,0.27172865593379925,0.27172865593379925,0.544654436928175
rastrigin,simple random,2,5,0.5005740120881778,0.5005740120881778,0.5005740120881778,0.5005740120881778,0.5005740120881778,0.5005740120881778,0.5005740120881778,0.5005740120881778,0.5005740120881778,0.5005740120881778,0.5005740120881778,0.5005740120881778,0.5005740120881778,0.3265025504538338
rastrigin,simple random,2,5,0.27461129304612814,0.27461129304612814,0.27461129304612814,0.27461129304612814,0.27461129304612814,0.27461129304612814,0.27461129304612814,0.27461129304612814,0.27461129304612814,0.27461129304612814,0.27461129304612814,0.27461129304612814,0.27461129304612814,0.5411550086915109
rastrigin,simple random,2,5,0.39518343197938816,0.39518343197938816,0.39518343197938816,0.39518343197938816,0.39518343197938816,0.39518343197938816,0.39518343197938816,0.39518343197938816,0.39518343197938816,0.39518343197938816,0.39518343197938816,0.39518343197938816,0.39518343197938816,0.41326881354912204
